Year,Week,Club1,Club2,Att1,Mid1,Def1,Att2,Mid2,Def2,Diff1,Diff2,Goals1,Goals2
2015,8,Valencia CF,Málaga CF,81,79,77,74,73,74,-0.14285714285714285,-0.14285714285714285,3,0
2015,8,Real Betis,Espanyol Barcelona,73,71,68,76,73,72,-0.2857142857142857,-1.2857142857142858,1,3
2015,8,Villarreal CF,Celta Vigo,78,76,74,75,74,73,1.0,1.1428571428571428,1,2
2015,8,Real Sociedad,Atlético Madrid,78,76,76,81,78,79,-0.14285714285714285,0.8571428571428571,0,2
2015,8,Getafe CF,UD Las Palmas,72,73,69,73,70,67,-0.2857142857142857,-0.42857142857142855,4,0
2015,8,Deportivo La Coruña,Athletic Bilbao,71,72,72,77,77,77,0.7142857142857143,-0.2857142857142857,2,2
2015,8,Sporting Gijón,Granada CF,63,67,70,72,74,72,-0.14285714285714285,-1.1428571428571428,3,3
2015,9,Rayo Vallecano,Espanyol Barcelona,75,73,75,76,73,72,-1.125,-0.875,3,0
2015,9,Celta Vigo,Real Madrid,75,74,73,86,83,81,1.125,2.0,1,3
2015,9,Granada CF,Real Betis,72,74,72,73,71,68,-1.0,-0.5,1,1
2015,9,Sevilla FC,Getafe CF,79,76,77,72,73,69,-0.5,0.25,5,0
2015,9,Málaga CF,Deportivo La Coruña,74,73,74,71,72,72,-0.5,0.625,2,0
2015,9,Levante UD,Real Sociedad,73,71,73,78,76,76,-1.125,-0.375,0,4
2015,9,UD Las Palmas,Villarreal CF,73,70,67,78,76,74,-0.875,0.75,0,0
2015,9,FC Barcelona,SD Eibar,88,85,81,72,72,72,0.75,0.5,3,1
2015,9,Atlético Madrid,Valencia CF,81,78,79,81,79,77,1.0,0.25,2,1
2015,9,Athletic Bilbao,Sporting Gijón,77,77,77,63,67,70,-0.25,-0.125,3,0
2015,10,Deportivo La Coruña,Atlético Madrid,71,72,72,81,78,79,0.3333333333333333,1.0,1,1
2015,10,Real Madrid,UD Las Palmas,86,83,81,73,70,67,2.0,-0.7777777777777778,3,1
2015,10,Villarreal CF,Sevilla FC,78,76,74,79,76,77,0.6666666666666666,0.1111111111111111,2,1
2015,10,Valencia CF,Levante UD,81,79,77,73,71,73,0.1111111111111111,-1.4444444444444444,3,0
2015,10,Getafe CF,FC Barcelona,72,73,69,88,85,81,-0.3333333333333333,0.8888888888888888,0,2
2015,10,Real Sociedad,Celta Vigo,78,76,76,75,74,73,0.1111111111111111,0.7777777777777778,2,3
2015,10,SD Eibar,Rayo Vallecano,72,72,72,75,73,75,0.2222222222222222,-0.6666666666666666,1,0
2015,10,Espanyol Barcelona,Granada CF,76,73,72,72,74,72,-1.1111111111111112,-0.8888888888888888,1,1
2015,10,Sporting Gijón,Málaga CF,63,67,70,74,73,74,-0.4444444444444444,-0.2222222222222222,1,0
2015,10,Real Betis,Athletic Bilbao,73,71,68,77,77,77,-0.4444444444444444,0.1111111111111111,1,3
2015,11,UD Las Palmas,Real Sociedad,73,70,67,78,76,76,-0.9,0.0,2,0
2015,11,Celta Vigo,Valencia CF,75,74,73,81,79,77,0.8,0.4,1,5
2015,11,Levante UD,Deportivo La Coruña,73,71,73,71,72,72,-1.6,0.3,1,1
2015,11,SD Eibar,Getafe CF,72,72,72,72,73,69,0.3,-0.5,3,1
2015,11,Rayo Vallecano,Granada CF,75,73,75,72,74,72,-0.7,-0.8,2,1
